Metric,Climate,Group,Parameter,Class,Estimate,Est.Error,Q2.5,Q97.5
Mean temperature,Elevation,Elevation,Intercept,43.2-44.6,0.9155718,0.06914664,0.7875429,1.0612023
Mean temperature,Elevation,Elevation,Intercept,44.6-46.3,0.6924165,0.0981523,0.4955154,0.8814862
Mean temperature,Elevation,Elevation,Intercept,46.3-48.0,0.5496611,0.02539171,0.4999569,0.599206
Mean temperature,Elevation,Elevation,Intercept,48.0-50.0,0.2883057,0.0157114,0.257631,0.3199954
Mean temperature,Elevation,Elevation,Intercept,50.0-52.1,-0.3411545,0.01414102,-0.3690601,-0.3130739
Mean temperature,Elevation,Elevation,Intercept,52.1-54.2,-0.4708611,0.01461563,-0.4994335,-0.4420824
Mean temperature,Elevation,Elevation,Intercept,54.2-58.1,-1.3850348,0.23478324,-1.8872136,-0.991889
Mean temperature,Elevation,Elevation,Intercept,58.1-62.1,-2.1687886,0.43433775,-3.0323612,-1.2008846
Mean temperature,Elevation,Elevation,Intercept,62.1-66.2,-3.7204022,0.57637619,-4.7722886,-2.7714067
Mean temperature,Elevation,Elevation,B1,36.6-39.3,-21.8915,5.5777501,-31.20173,-9.591646
Mean temperature,Elevation,Elevation,B1,39.3-41.2,-20.49479,6.168133,-30.92881,-6.800152
Mean temperature,Elevation,Elevation,B1,41.2-43.2,-32.27103,2.9078866,-37.98157,-26.726734
Mean temperature,Elevation,Elevation,B1,43.2-44.6,-29.28424,1.9494835,-33.12139,-25.537419
Mean temperature,Elevation,Elevation,B1,44.6-46.3,-27.14156,3.4955684,-34.18574,-20.372095
Mean temperature,Elevation,Elevation,B1,46.3-48.0,-24.99798,1.0944922,-27.13763,-22.835545
Mean temperature,Elevation,Elevation,B1,48.0-50.0,-26.59793,0.7643185,-28.07843,-25.115219
Mean temperature,Elevation,Elevation,B1,50.0-52.1,-28.69929,0.4632369,-29.5876,-27.767337
Mean temperature,Elevation,Elevation,B1,52.1-54.2,-21.65813,0.5527007,-22.76766,-20.575477
Mean temperature,Elevation,Elevation,B1,54.2-58.1,-35.03294,7.8385645,-52.01309,-22.142262
Mean temperature,Elevation,Elevation,B1,58.1-62.1,-25.76755,14.4022989,-54.55896,6.473025
Mean temperature,Elevation,Elevation,B1,62.1-66.2,-56.95304,20.9851551,-95.11023,-22.534984
Mean temperature,Elevation,Elevation,B2,36.6-39.3,-2.2754662,2.0039724,-6.720959,1.088106
Mean temperature,Elevation,Elevation,B2,39.3-41.2,2.6809496,4.3491158,-6.511193,10.729619
Mean temperature,Elevation,Elevation,B2,41.2-43.2,-6.1513022,4.4422552,-15.11218,2.201014
Mean temperature,Elevation,Elevation,B2,43.2-44.6,4.0878744,4.2096078,-3.714175,12.973036
Mean temperature,Elevation,Elevation,B2,44.6-46.3,-0.285918,4.1238563,-8.653792,7.75262
Mean temperature,Elevation,Elevation,B2,46.3-48.0,-0.6129889,1.5452752,-3.644193,2.386254
Mean temperature,Elevation,Elevation,B2,48.0-50.0,-0.2296691,0.761383,-1.736672,1.242567
Mean temperature,Elevation,Elevation,B2,50.0-52.1,3.3183765,0.5754454,2.195185,4.443691
Mean temperature,Elevation,Elevation,B2,52.1-54.2,4.3601563,0.5957188,3.184538,5.510803
Mean temperature,Elevation,Elevation,B2,54.2-58.1,-2.286313,4.3280087,-11.43733,5.100508
Mean temperature,Elevation,Elevation,B2,58.1-62.1,-4.5466493,9.3194396,-23.799223,15.655444
Mean temperature,Elevation,Elevation,B2,62.1-66.2,-28.3639303,14.7463155,-55.323731,-3.605821
Mean temperature,Latitude,Latitude,Intercept,0-258,1.8092308,0.11188191,1.57776697,2.0200495
Mean temperature,Latitude,Latitude,Intercept,258-599,1.5053525,0.0506738,1.40717963,1.6033317
Mean temperature,Latitude,Latitude,Intercept,599-856,1.0905599,0.05432452,0.98407944,1.1972657
Mean temperature,Latitude,Latitude,Intercept,856-1100,0.6422024,0.02519078,0.59247412,0.691268
Mean temperature,Latitude,Latitude,Intercept,1100-1320,0.3778746,0.02036161,0.33783941,0.4180369
Mean temperature,Latitude,Latitude,Intercept,1320-1500,0.0939131,0.02109737,0.05281673,0.1344172
Mean temperature,Latitude,Latitude,Intercept,1500-1670,-0.2694274,0.04785564,-0.36281936,-0.1765883
Mean temperature,Latitude,Latitude,Intercept,1670-1870,-0.4674358,0.03963538,-0.54563364,-0.3912784
Mean temperature,Latitude,Latitude,Intercept,1870-2090,-0.5375879,0.02824832,-0.59151581,-0.4806444
Mean temperature,Latitude,Latitude,Intercept,2090-2330,-0.7583576,0.02228455,-0.80105606,-0.71393
Mean temperature,Latitude,Latitude,Intercept,2330-2780,-1.1228469,0.03441292,-1.19041145,-1.0559903
Mean temperature,Latitude,Latitude,Intercept,2780-3740,0.424575,1.01550741,-1.401624,2.5585567
Mean temperature,Latitude,Latitude,B1,0-258,-29.702177,3.2099136,-35.96692,-23.47782
Mean temperature,Latitude,Latitude,B1,258-599,-38.141525,1.944934,-41.93808,-34.32562
Mean temperature,Latitude,Latitude,B1,599-856,-39.235435,1.7312533,-42.67634,-35.87572
Mean temperature,Latitude,Latitude,B1,856-1100,-31.83599,1.0477838,-33.88245,-29.75485
Mean temperature,Latitude,Latitude,B1,1100-1320,-34.796692,0.9350736,-36.63395,-32.94465
Mean temperature,Latitude,Latitude,B1,1320-1500,-34.276744,0.9744816,-36.21695,-32.3862
Mean temperature,Latitude,Latitude,B1,1500-1670,-41.076195,2.5874894,-46.23397,-36.13313
Mean temperature,Latitude,Latitude,B1,1670-1870,-40.947217,2.2776866,-45.45416,-36.55467
Mean temperature,Latitude,Latitude,B1,1870-2090,-35.882188,2.1056036,-40.00875,-31.68161
Mean temperature,Latitude,Latitude,B1,2090-2330,-28.491434,2.6713963,-33.6352,-23.12881
Mean temperature,Latitude,Latitude,B1,2330-2780,-28.979979,5.7506601,-39.45189,-16.97076
Mean temperature,Latitude,Latitude,B1,2780-3740,-5.574683,20.0184828,-39.28189,36.41575
Mean temperature,Latitude,Latitude,B2,0-258,-9.67302267,5.661336,-21.62532,0.9199308
Mean temperature,Latitude,Latitude,B2,258-599,-7.0705996,1.470637,-9.914208,-4.2252727
