ID,Lake,Elevation,Latitude,Longitude,Area,Depth,Sampling.events,Sampling.years
444,Center Lake (south),2201.763184,52.82426323,-117.9116262,16071.49498,4.5,1,1
445,Lectern Lake,1512.309448,52.77146142,-118.0571545,19764.93841,14,NA,3
446,Outer Rink Lake,2021.186035,52.92271903,-118.5834669,96848.68703,18,1,1
447,Kerkeslin Lake,1757.513184,52.65452308,-117.7830671,129786.9038,4.5,NA,1
448,Moren Pond (1),2081.803223,53.01439633,-118.5450811,27936.8707,10,1,1
449,Cavell Lake (upper),2249.767334,52.68570074,-118.019502,18313.3009,6.2,2,2
45,Quatansta,3.11935,53.51241,-130.24745,2236164.789,27.6,1,1
450,Divergence Lake,1907.744995,52.49917269,-117.9718856,315559.8752,38,1,1
451,Fryatt Lake (upper),2044.761963,52.54901012,-117.9515867,109199.483,15,1,1
452,Chalet Pond,1986.187134,52.21895601,-117.2229523,12167.26848,0.9,NA,1
453,Medicine Tent (2),2134.069824,52.72897138,-117.1757149,241668.0374,4,1,1
454,Amber (1),2284.860596,52.8113951,-117.8883749,6663.339951,7,1,1
455,Geraldine Lake 5,2001.132324,52.57065521,-117.9487057,172023.6478,25,NA,1
456,Zengel Pond,2133.599609,52.97785946,-118.1652667,11842.90446,1.2,1,1
457,Trapper Pond (upper),2140.817383,52.66369849,-117.6755557,8563.395377,7,1,1
458,Pocahontas Pond,1040,53.20892857,-117.9180932,76231.08584,2,2,1
459,Geraldine Lake 4,1965.282349,52.57702038,-117.9487103,40201.49478,5.5,1,1
460,High Lake Four,1525.75,52.89817476,-118.2300283,15294.77548,2,1,1
461,Wabasso Lake,1114.310547,52.78777395,-117.9867421,49846.09915,2,1,1
462,Maligne Lake,1675.540405,52.68269068,-117.5795029,20517012.71,96,10,6
463,Ouzel Lake (lower),2316.450439,52.50764899,-117.470819,27919.671,9,1,1
464,Hostel Pond (Mile 54),1561.852295,52.346173,-117.340668,44491.00181,4,NA,1
465,Whitewater Lake,2305.675537,52.49607818,-117.4594711,319617.2787,14,1,1
466,Mitchell Lake,1798.172729,52.42384168,-117.4774257,215316.7835,14,NA,1
467,OBeirne Lake 2,2030.638794,52.91348678,-118.6041452,97311.22664,33,4,2
468,OBeirne Lake 4,2015.917847,52.90783559,-118.600531,60957.19083,32,2,1
469,Leach Pond (2),1202.951294,52.67273673,-117.8924812,20114.60325,1,1,1
47,Owikeno,4.575624,51.66975,-126.85939,93651569.15,366,NA,1
470,High Lake Seven,1501.89978,52.89483833,-118.2482186,30870.55095,7.5,1,1
471,Zengel Lake,2100.993408,52.97128775,-118.1879638,48579.13711,13,1,1
472,Cairngorm Lake (south),2422.401855,52.93019839,-118.2159838,24706.16461,14.3,2,2
473,Unnamed Pond (along Athabasca),1115.301147,52.8498188,-118.0531766,3215.877629,3,1,1
474,Twin Lake (north),1039.910645,52.87057352,-118.0716267,15209.44645,1.5,1,1
475,Geraldine Lake 3,1897.032349,52.59246954,-117.9426222,319117.0657,31,NA,2
476,Leach Lake,1241.747559,52.693118,-117.904428,80368.5037,11,NA,5
477,Moraine Pond,2042.762207,53.13737599,-118.619905,10290.46085,5,2,2
478,Prairie Leech Pond,1617.940552,52.91919486,-118.3617095,71860.79473,0.5,1,1
479,J436,1450.252808,52.9068324,-118.3260502,76492.40087,3,1,1
48,Long1,1.00E-06,51.2551,-127.0379,21343641.41,170,70,2
480,Edwards Lake,1276.175293,52.70395484,-117.8664775,12311.82773,10,NA,3
481,Trapper Lake (upper),2146.479248,52.65036844,-117.6922904,31253.03955,11.5,1,1
482,Lick Lake,2065.014404,52.43754033,-117.8791156,82331.39658,18,1,1
483,Halcyon Lake,2147.739014,52.6641725,-117.7290611,183992.1921,22,1,1
484,3rd of Five,1115.666504,52.81689317,-118.0070332,12975.96581,3.6,1,1
485,5th of Five,1121.619873,52.81347564,-118.0008114,74124.0065,13,2,2
486,Dragon Lake,1360.948975,52.47095788,-117.6641944,56637.397,12,1,1
487,Rink Lake,1800.927979,52.90317183,-118.5883151,149271.9318,5,4,2
488,Golden Lake,1472.801392,52.89767119,-118.3276734,50669.23599,10.3,6,4
489,Mina Lake,1241.460205,52.883022,-118.1206048,92322.65161,13.2,3,3
49,KitsumKalum,145.014923,54.75668,-128.79109,19069972.03,139.9,1,1
490,Tekarra Lake,2286.093506,52.84832734,-117.9519712,7168.367446,7,1,1
491,Beauvert Lake,1040.720215,52.88191195,-118.0613995,351925.1203,25,20,5
492,Dorothy Lake,1351.725586,52.88287048,-118.2285845,255485.1263,14.6,6,4
493,Nigel Lake (Wilcox),2478.271484,52.24724896,-117.1980324,226330.2918,7,1,1
494,Beryl Lake,2080.099121,52.64855359,-118.1303584,234983.9304,31,1,1
495,Iris Lake,1338.096802,52.87786795,-118.221132,53696.06574,13.2,3,3
496,Rathlin Lake,1301.380127,52.87542008,-118.1904092,26310.05078,4.3,1,1
497,Wolverine Lake,2281.223877,52.49373048,-117.2541806,15202.49774,2,1,1
498,Loc Gris,2151.563721,52.59753,-117.2184912,333537.4102,5.5,1,1
499,Mahood Lake,2037.120117,53.0234104,-118.5563474,459068.0992,28,1,1
5,Awun,15.94103,53.60275,-132.56531,4861129.186,88,1,1
50,Alastair,43.205719,54.10986,-129.18055,7172150.813,78.3,14,4
500,Henry Lake,1995.436768,52.94485662,-118.2646301,70944.39729,11.7,1,1
501,Kerr Lake (south),2162.224609,52.93595564,-118.2365305,27203.34167,7,1,1
502,Kerr Pond,2149.543945,52.94054723,-118.2332982,1593.22349,3,1,1
503,Cavell Meadows Pond,1853.981812,52.6796346,-118.0480872,71634.24779,12,1,1
504,Trefoil Pond (3),1041.929443,52.89194325,-118.0585527,4488.870701,5.5,1,1
505,Trefoil Lake (1),1034.433228,52.89383486,-118.0540947,53235.58217,10,2,2
506,Pika Lake (south),2278.705078,52.48770844,-117.4476905,24023.9991,10,1,1
507,Rosemarie Pond,1724.324829,52.74056467,-117.6379943,10674.38583,2.3,1,1
508,Amber (3),2237.832275,52.81494726,-117.8894266,2205.685455,5,1,1
509,Wolf Lake,2149.858887,52.68469447,-117.3935761,864101.4739,49,1,1
51,Khtada,105.598907,54.12696,-129.46474,7243388.993,158,1,1
510,Replica Pond,2249.822998,52.50799562,-117.4557646,32245.34073,7,1,1
511,Coronet Lake,2329.263184,52.55254211,-117.4293239,40804.10089,15,1,1
512,Palisades Pond,1019.990356,52.96340754,-118.0500987,3020.960823,1,3,1
513,Cold Sulfur Pond (south),1039.96228,53.04322687,-118.0843167,3758.233561,1.5,2,1
514,Phalarope Lake,2257.222412,52.48892702,-117.4391903,22520.27125,6,1,1
515,Medicine Tent (1),2171.364258,52.71950425,-117.1637144,398229.366,34,1,1
516,Edith Pond,1037.868286,52.91441756,-118.0227235,18949.36929,1.3,1,1
518,Whirlpool Lake,2072.177734,52.52091299,-118.2271128,185160.465,29,1,1
519,Porcupine Lake,2059.83374,53.02746233,-118.476969,190994.5013,27.5,1,1
52,Lakelse,73.827637,54.38142,-128.55916,13743969.4,31.7,1,1
520,Bench Lake,1354.074097,52.88043156,-118.2060461,17921.57673,5.8,2,2
521,Colfair Lake (upper),1552.749634,52.73453268,-117.862448,14664.86799,7.5,NA,1
522,OBeirne Lake 5,2015.059326,52.89589722,-118.604447,69488.44322,33,1,1
523,Cold Sulfur Pond (north),1039.810059,53.04734075,-118.076782,30780.29239,2.5,2,1
524,Colfair Lake (lower),1353.420166,52.73010706,-117.8713942,12350.4351,6,NA,1
525,Antler Lake (lower),2154.116943,52.75159298,-117.8145428,9283.942056,8,1,1
526,OBeirne Lake 1,2122.835449,52.92257501,-118.6048977,51998.13261,25,3,2
527,Trapper Lake (lower),2142.064697,52.64767929,-117.6893952,71481.16695,19,1,1
528,Miette Lake,1910.915039,53.01926363,-118.6289395,53006.88415,6.5,2,1
529,1st of Five,1100.720581,52.82214133,-118.0199025,130657.5536,22,2,2
53,Morice,758.548279,54.00345,-127.61504,97537364.26,236.2,NA,3
530,2nd of Five,1112.307495,52.81812746,-118.0109496,12345.54179,1.5,1,1
531,Edna Lake,1039.907104,53.07566125,-118.0370197,250072.2468,2,2,1
532,Cavell Lake (lower),1729.141235,52.69799196,-118.0613127,129063.6318,4.7,1,1
533,Mildred Lake,1042.07251,52.88986954,-118.0572091,75834.98307,3.5,3,1
534,Annette Lake,1020.83606,52.90159979,-118.0482766,271461.1472,23,25,7
535,Virl Lake,1309.616333,52.87796717,-118.2341372,37115.56713,6,6,4
536,Patricia Lake,1170.095703,52.90402446,-118.1012078,645303.9716,42,12,6
537,Surprise Lake (1),1679.708252,52.79503918,-117.623619,214433.1517,6.2,1,1
538,Moat Lake,1959.719482,52.72217899,-118.3252836,304325.8143,10.5,5,3
539,Ochre Pond,1020.933167,52.90331871,-118.0419396,9900.877284,0.5,1,1
54,Nanika,933.797852,53.7823,-127.65155,29598619.11,222,1,1
540,Riley Lake,1177.598267,52.89306243,-118.1198083,61302.03869,10.5,2,2
541,Christine Lake,1311.802612,52.88351631,-118.2476853,11132.5331,8,3,3
542,Saturday Night Lake,1412.984253,52.89368793,-118.1796121,111025.7217,8.3,1,1
543,Pyramid Lake,1179.687622,52.92351842,-118.0988761,1241870.576,19,24,7
544,Osprey Lake,1394.391113,52.55911447,-117.6694341,48952.08629,7.5,NA,3
545,Jacques Lake,1499.823975,52.92923574,-117.7500797,195148.4982,4.5,1,1
546,Minnow Lake,1423.453735,52.89046097,-118.2230913,64532.24275,3.3,1,1
547,Cutt Lake,1453.458252,52.90050265,-118.330124,59862.2398,7.5,2,2
548,Beacon Lake,2158.432861,52.5394758,-118.2708194,797381.9064,46,1,1
549,Harvey Lake,1636.868652,53.15656659,-118.451634,491050.6977,21,3,2
550,Horseshoe Lake,1257.810059,52.69869169,-117.8657814,80412.91002,23,22,4
551,Buck Lake,1402.90625,52.55173885,-117.6636878,208724.515,6,NA,3
552,Lorraine Lake,1777.266602,52.73025784,-117.6681577,35247.09398,8.2,1,1
553,Sunwapta Lake,1945.856201,52.21500243,-117.2356519,128174.8047,5,1,1
554,Honeymoon Lake,1399.961792,52.556354,-117.6774163,170187.5354,7,NA,4
555,Mona Lake,1774.234985,52.73705637,-117.6741418,105260.2797,11.5,1,1
556,Beaver Lake,1500.292725,52.86578314,-117.7244442,285112.0552,2,2,2
557,Cabin Lake,1218.781128,52.87837308,-118.1330267,348640.2233,20.5,6,4
558,Chalk Lake,2209.464111,52.52444233,-118.2489678,201538.9362,32,1,1
559,Edith Lake,1019.632507,52.91028149,-118.0414226,539066.7856,18,21,4
56,Wheeler,689.507996,59.6932,-129.1629,2441072.153,31,1,1
560,Amethyst Lake,1972.804321,52.69907543,-118.2767971,4567926.299,25,10,4
561,Hibernia Lake,1215.230835,52.8710393,-118.1431169,106020.7724,8.5,3,3
562,Caledonia Lake,1181.97644,52.86754855,-118.1637347,151641.856,11,5,3
563,Marjorie Lake,1162.927734,52.86745489,-118.1315834,94822.96668,8,6,3
